爵床科||Acanthaceae||白接骨属||Asystasia||白接骨||Asystasia neesiana
菊科||Asteraceae||羊耳菊属||Duhaldea||拟羊耳菊||Duhaldea forrestii
菊科||Asteraceae||鳢肠属||Eclipta||鳢肠||Eclipta prostrata
菊科||Asteraceae||地胆草属||Elephantopus||地胆草||Elephantopus scaber
菊科||Asteraceae||地胆草属||Elephantopus||白花地胆草||Elephantopus tomentosus
菊科||Asteraceae||飞蓬属||Erigeron||一年蓬||Erigeron annuus
菊科||Asteraceae||飞蓬属||Erigeron||棉毛飞蓬||Erigeron lanuginosus
菊科||Asteraceae||飞蓬属||Erigeron||多舌飞蓬||Erigeron multiradiatus
菊科||Asteraceae||都丽菊属||Ethulia||都丽菊||Ethulia conyzoides
菊科||Asteraceae||泽兰属||Eupatorium||佩兰||Eupatorium fortunei
菊科||Asteraceae||泽兰属||Eupatorium||异叶泽兰||Eupatorium heterophyllum
菊科||Asteraceae||泽兰属||Eupatorium||白头婆||Eupatorium japonicum
菊科||Asteraceae||花佩菊属||Faberia||花佩菊||Faberia sinensis
菊科||Asteraceae||牛膝菊属||Galinsoga||牛膝菊||Galinsoga parviflora
菊科||Asteraceae||鼠麴草属||Gnaphalium||细叶鼠麴草||Gnaphalium japonicum
菊科||Asteraceae||狗娃花属||Heteropappus||青藏狗娃花||Heteropappus boweri
菊科||Asteraceae||狗娃花属||Heteropappus||圆齿狗娃花||Heteropappus crenatifolius
菊科||Asteraceae||狗娃花属||Heteropappus||狗娃花||Heteropappus hispidus
菊科||Asteraceae||狗娃花属||Heteropappus||半卧狗娃花||Heteropappus semiprostratus
菊科||Asteraceae||女蒿属||Hippolytia||川滇女蒿||Hippolytia delavayi
菊科||Asteraceae||旋覆花属||Inula||水朝阳旋覆花||Inula helianthus-aquatilis
菊科||Asteraceae||小苦荬属||Ixeridium||中华小苦荬||Ixeridium chinense
菊科||Asteraceae||莴苣属||Lactuca||翅果菊||Lactuca indica
菊科||Asteraceae||莴苣属||Lactuca||野莴苣||Lactuca serriola
菊科||Asteraceae||火绒草属||Leontopodium||松毛火绒草||Leontopodium andersonii
菊科||Asteraceae||火绒草属||Leontopodium||美头火绒草||Leontopodium calocephalum
菊科||Asteraceae||火绒草属||Leontopodium||云岭火绒草||Leontopodium delavayanum
菊科||Asteraceae||火绒草属||Leontopodium||坚杆火绒草||Leontopodium franchetii
菊科||Asteraceae||火绒草属||Leontopodium||密垫火绒草||Leontopodium haastioides
菊科||Asteraceae||火绒草属||Leontopodium||珠峰火绒草||Leontopodium himalayanum
菊科||Asteraceae||火绒草属||Leontopodium||长叶火绒草||Leontopodium junpeianum
菊科||Asteraceae||火绒草属||Leontopodium||藓状火绒草||Leontopodium muscoides
菊科||Asteraceae||火绒草属||Leontopodium||弱小火绒草||Leontopodium pusillum
菊科||Asteraceae||火绒草属||Leontopodium||银叶火绒草||Leontopodium souliei
菊科||Asteraceae||火绒草属||Leontopodium||毛香火绒草||Leontopodium stracheyi
菊科||Asteraceae||火绒草属||Leontopodium||矮火绒草||Leontopodium nanum
菊科||Asteraceae||橐吾属||Ligularia||白序橐吾||Ligularia anoleuca
菊科||Asteraceae||橐吾属||Ligularia||暗紫橐吾||Ligularia atroviolacea
菊科||Asteraceae||橐吾属||Ligularia||垂头橐吾||Ligularia cremanthodioides
菊科||Asteraceae||橐吾属||Ligularia||大黄橐吾||Ligularia duciformis
菊科||Asteraceae||橐吾属||Ligularia||鹿蹄橐吾||Ligularia hodgsonii
菊科||Asteraceae||橐吾属||Ligularia||细茎橐吾||Ligularia hookeri
菊科||Asteraceae||橐吾属||Ligularia||沼生橐吾||Ligularia lamarum
